event_index,user_id,session_id,step_index,timestamp,time_of_day,month,device,region,traffic,current_page,next_page,action,price,discounted_price,color,model_type
21,user_40,sess_7,1,2024-01-01T00:55:40Z,night,january,tablet,eu_west,organic,search_results,product_details,scroll,296.53,252.05,silver,standard
22,user_40,sess_7,2,2024-01-01T00:58:53Z,night,january,desktop,ap_south,paid_ads,product_details,exit,scroll,281.04,238.88,black,pro
23,user_38,sess_8,0,2024-01-01T01:03:38Z,night,january,mobile,eu_west,organic,home,product_details,view,602.46,512.09,red,pro
24,user_38,sess_8,1,2024-01-01T01:04:47Z,night,january,mobile,ap_south,direct,product_details,cart,add_to_cart,789.83,671.36,silver,basic
25,user_38,sess_8,2,2024-01-01T01:06:46Z,night,january,mobile,us_east,paid_ads,cart,checkout,hover,594.83,505.61,silver,pro
26,user_38,sess_8,3,2024-01-01T01:10:37Z,night,january,mobile,ap_south,direct,checkout,purchase,purchase,515.31,438.01,black,basic
27,user_38,sess_8,4,2024-01-01T01:12:14Z,night,january,mobile,us_east,paid_ads,purchase,exit,view,469.67,399.22,silver,standard
28,user_19,sess_9,0,2024-01-01T01:17:08Z,night,january,mobile,us_east,direct,home,search_results,click,433.66,368.61,red,standard
29,user_19,sess_9,1,2024-01-01T01:20:29Z,night,january,mobile,ap_south,organic,search_results,product_details,hover,926.25,787.31,black,pro
30,user_19,sess_9,2,2024-01-01T01:21:36Z,night,january,tablet,ap_south,organic,product_details,cart,add_to_cart,642.02,545.72,blue,standard
31,user_19,sess_9,3,2024-01-01T01:23:52Z,night,january,mobile,us_east,paid_ads,cart,product_details,click,450.36,382.81,black,pro
32,user_19,sess_9,4,2024-01-01T01:26:57Z,night,january,tablet,us_east,direct,product_details,cart,add_to_cart,389.21,330.83,silver,standard
33,user_19,sess_9,5,2024-01-01T01:28:33Z,night,january,mobile,us_east,direct,cart,checkout,click,741.31,630.11,silver,basic
34,user_19,sess_9,6,2024-01-01T01:31:47Z,night,january,mobile,ap_south,organic,checkout,purchase,purchase,914.23,777.1,blue,pro
35,user_19,sess_9,7,2024-01-01T01:35:26Z,night,january,desktop,ap_south,paid_ads,purchase,exit,hover,869.77,739.3,blue,pro
36,user_51,sess_10,0,2024-01-01T01:40:15Z,night,january,mobile,ap_south,direct,home,product_details,hover,358.88,305.05,blue,basic
37,user_51,sess_10,1,2024-01-01T01:40:49Z,night,january,desktop,ap_south,paid_ads,product_details,search_results,hover,467.77,397.6,red,standard
38,user_51,sess_10,2,2024-01-01T01:42:03Z,night,january,mobile,ap_south,paid_ads,search_results,product_details,click,429.66,365.21,blue,standard
39,user_51,sess_10,3,2024-01-01T01:43:58Z,night,january,desktop,ap_south,direct,product_details,cart,add_to_cart,497.58,422.94,blue,basic
40,user_51,sess_10,4,2024-01-01T01:45:16Z,night,january,desktop,eu_west,paid_ads,cart,product_details,click,819.63,696.69,silver,basic
41,user_51,sess_10,5,2024-01-01T01:48:02Z,night,january,tablet,ap_south,organic,product_details,search_results,click,1075.68,914.33,green,basic
42,user_51,sess_10,6,2024-01-01T01:50:51Z,night,january,desktop,ap_south,paid_ads,search_results,home,scroll,654.19,556.06,green,pro
43,user_51,sess_10,7,2024-01-01T01:53:50Z,night,january,tablet,us_east,paid_ads,home,search_results,click,395.45,336.13,green,standard
44,user_51,sess_10,8,2024-01-01T01:54:48Z,night,january,mobile,ap_south,direct,search_results,product_details,view,536.29,455.85,blue,pro
45,user_51,sess_10,9,2024-01-01T01:56:58Z,night,january,desktop,ap_south,organic,product_details,cart,add_to_cart,1193.81,1014.74,black,basic
46,user_51,sess_10,10,2024-01-01T02:01:06Z,night,january,desktop,eu_west,organic,cart,checkout,click,570.27,484.73,green,standard
47,user_51,sess_10,11,2024-01-01T02:02:36Z,night,january,mobile,eu_west,organic,checkout,purchase,purchase,470.16,399.64,silver,basic
48,user_51,sess_10,12,2024-01-01T02:04:21Z,night,january,mobile,eu_west,organic,purchase,exit,scroll,489.19,415.81,black,pro
49,user_59,sess_11,0,2024-01-01T02:09:07Z,night,january,tablet,ap_south,paid_ads,home,exit,click,652.72,554.81,black,standard
50,user_54,sess_12,0,2024-01-01T02:14:02Z,night,january,desktop,us_east,paid_ads,home,exit,click,364.43,309.77,green,basic
51,user_35,sess_13,0,2024-01-01T02:18:43Z,night,january,mobile,eu_west,direct,home,exit,hover,424.84,361.11,green,basic
52,user_40,sess_14,0,2024-01-01T02:23:34Z,night,january,tablet,us_east,organic,home,product_details,scroll,862.89,733.46,red,basic
53,user_40,sess_14,1,2024-01-01T02:27:21Z,night,january,desktop,eu_west,paid_ads,product_details,search_results,scroll,643.52,546.99,green,standard
54,user_40,sess_14,2,2024-01-01T02:27:46Z,night,january,desktop,eu_west,direct,search_results,home,view,573.14,487.17,black,pro
55,user_40,sess_14,3,2024-01-01T02:31:35Z,night,january,desktop,us_east,direct,home,product_details,scroll,886.17,753.24,green,pro
56,user_40,sess_14,4,2024-01-01T02:35:33Z,night,january,tablet,us_east,direct,product_details,search_results,click,384.35,326.7,green,standard
57,user_40,sess_14,5,2024-01-01T02:36:53Z,night,january,mobile,ap_south,direct,search_results,product_details,view,463.48,393.96,black,standard
58,user_40,sess_14,6,2024-01-01T02:38:17Z,night,january,desktop,us_east,direct,product_details,cart,add_to_cart,633.11,538.14,black,basic
59,user_40,sess_14,7,2024-01-01T02:41:19Z,night,january,desktop,us_east,direct,cart,checkout,click,622.11,528.79,blue,pro
60,user_40,sess_14,8,2024-01-01T02:41:43Z,night,january,mobile,ap_south,organic,checkout,purchase,purchase,269.05,228.69,silver,basic
61,user_40,sess_14,9,2024-01-01T02:42:18Z,night,january,tablet,us_east,organic,purchase,exit,view,442.42,376.06,silver,pro
62,user_16,sess_15,0,2024-01-01T02:46:35Z,night,january,desktop,us_east,paid_ads,home,search_results,hover,503.68,428.13,silver,standard
63,user_16,sess_15,1,2024-01-01T02:47:48Z,night,january,desktop,ap_south,paid_ads,search_results,product_details,view,668.22,567.99,silver,basic
64,user_16,sess_15,2,2024-01-01T02:51:15Z,night,january,mobile,ap_south,direct,product_details,exit,scroll,621.02,527.87,blue,pro
65,user_87,sess_16,0,2024-01-01T02:52:31Z,night,january,tablet,eu_west,organic,home,search_results,click,526.03,447.13,silver,standard
66,user_87,sess_16,1,2024-01-01T02:57:05Z,night,january,mobile,eu_west,direct,search_results,product_details,click,209.18,177.8,silver,basic
67,user_87,sess_16,2,2024-01-01T03:01:15Z,night,january,tablet,ap_south,direct,product_details,search_results,hover,538.79,457.97,silver,standard
68,user_87,sess_16,3,2024-01-01T03:05:28Z,night,january,mobile,eu_west,direct,search_results,product_details,scroll,562.67,478.27,green,pro
69,user_87,sess_16,4,2024-01-01T03:07:47Z,night,january,mobile,eu_west,direct,product_details,exit,hover,1870.96,1590.32,silver,standard
70,user_23,sess_17,0,2024-01-01T03:12:11Z,night,january,tablet,us_east,paid_ads,home,search_results,hover,495.92,421.53,blue,pro
71,user_23,sess_17,1,2024-01-01T03:14:03Z,night,january,tablet,eu_west,paid_ads,search_results,product_details,scroll,634.83,539.61,red,pro
72,user_23,sess_17,2,2024-01-01T03:18:29Z,night,january,desktop,ap_south,organic,product_details,cart,add_to_cart,966.8,821.78,green,basic
73,user_23,sess_17,3,2024-01-01T03:21:20Z,night,january,desktop,ap_south,paid_ads,cart,checkout,hover,795.17,675.89,silver,standard
74,user_23,sess_17,4,2024-01-01T03:24:24Z,night,january,mobile,us_east,paid_ads,checkout,purchase,purchase,1101.01,935.86,blue,standard
75,user_23,sess_17,5,2024-01-01T03:26:17Z,night,january,mobile,us_east,paid_ads,purchase,exit,scroll,270.88,230.25,blue,pro
76,user_61,sess_18,0,2024-01-01T03:28:53Z,night,january,mobile,us_east,direct,home,search_results,hover,332.73,282.82,silver,pro
77,user_61,sess_18,1,2024-01-01T03:31:04Z,night,january,desktop,us_east,organic,search_results,exit,scroll,411.35,349.65,blue,basic
78,user_70,sess_19,0,2024-01-01T03:33:48Z,night,january,mobile,us_east,paid_ads,home,search_results,click,251.45,213.73,silver,basic
79,user_70,sess_19,1,2024-01-01T03:36:28Z,night,january,desktop,eu_west,organic,search_results,product_details,view,565.02,480.27,green,standard
80,user_70,sess_19,2,2024-01-01T03:37:16Z,night,january,mobile,us_east,paid_ads,product_details,search_results,view,344.77,293.05,green,basic
81,user_70,sess_19,3,2024-01-01T03:40:06Z,night,january,tablet,ap_south,paid_ads,search_results,product_details,click,1185.06,1007.3,red,basic
82,user_70,sess_19,4,2024-01-01T03:42:16Z,night,january,tablet,eu_west,direct,product_details,search_results,hover,369.06,313.7,silver,standard
83,user_70,sess_19,5,2024-01-01T03:43:01Z,night,january,tablet,us_east,direct,search_results,home,scroll,464.78,395.06,silver,pro
84,user_70,sess_19,6,2024-01-01T03:43:57Z,night,january,desktop,eu_west,paid_ads,home,product_details,view,820.03,697.03,red,basic
85,user_70,sess_19,7,2024-01-01T03:48:12Z,night,january,mobile,ap_south,organic,product_details,search_results,click,295.05,250.79,blue,basic
86,user_70,sess_19,8,2024-01-01T03:50:42Z,night,january,desktop,us_east,paid_ads,search_results,product_details,scroll,244.41,207.75,silver,standard
87,user_70,sess_19,9,2024-01-01T03:52:52Z,night,january,mobile,us_east,direct,product_details,search_results,view,598.78,508.96,silver,pro
88,user_70,sess_19,10,2024-01-01T03:55:34Z,night,january,desktop,ap_south,paid_ads,search_results,product_details,click,621.74,528.48,green,standard
89,user_70,sess_19,11,2024-01-01T04:00:01Z,night,january,tablet,eu_west,paid_ads,product_details,cart,add_to_cart,807.14,686.07,green,standard
90,user_70,sess_19,12,2024-01-01T04:02:24Z,night,january,tablet,eu_west,paid_ads,cart,product_details,view,708.79,602.47,red,basic
91,user_70,sess_19,13,2024-01-01T04:02:59Z,night,january,desktop,us_east,paid_ads,product_details,search_results,click,633.38,538.37,silver,basic
92,user_70,sess_19,14,2024-01-01T04:06:57Z,night,january,desktop,eu_west,direct,search_results,product_details,hover,388.61,330.32,silver,standard
93,user_70,sess_19,15,2024-01-01T04:08:05Z,night,january,tablet,eu_west,paid_ads,product_details,search_results,hover,613.21,521.23,black,basic
94,user_70,sess_19,16,2024-01-01T04:08:38Z,night,january,tablet,us_east,paid_ads,search_results,product_details,click,632.15,537.33,green,basic
95,user_70,sess_19,17,2024-01-01T04:13:30Z,night,january,tablet,eu_west,paid_ads,product_details,cart,add_to_cart,382.0,324.7,green,basic
96,user_70,sess_19,18,2024-01-01T04:17:31Z,night,january,desktop,ap_south,direct,cart,checkout,hover,1387.8,1179.63,silver,basic
97,user_70,sess_19,19,2024-01-01T04:18:48Z,night,january,tablet,us_east,direct,checkout,purchase,purchase,691.94,588.15,red,standard
98,user_70,sess_19,20,2024-01-01T04:23:45Z,night,january,desktop,us_east,paid_ads,purchase,exit,view,335.37,285.06,red,standard
99,user_19,sess_20,0,2024-01-01T04:28:15Z,night,january,desktop,eu_west,organic,home,search_results,click,809.27,687.88,black,basic
100,user_19,sess_20,1,2024-01-01T04:32:23Z,night,january,mobile,eu_west,direct,search_results,product_details,scroll,883.84,751.26,green,standard
101,user_19,sess_20,2,2024-01-01T04:35:32Z,night,january,tablet,eu_west,paid_ads,product_details,search_results,hover,671.14,570.47,black,standard
102,user_19,sess_20,3,2024-01-01T04:39:57Z,night,january,tablet,ap_south,direct,search_results,product_details,hover,482.94,410.5,black,standard
103,user_19,sess_20,4,2024-01-01T04:44:05Z,night,january,mobile,ap_south,direct,product_details,cart,add_to_cart,374.55,318.37,black,pro
104,user_19,sess_20,5,2024-01-01T04:46:19Z,night,january,tablet,eu_west,direct,cart,product_details,click,525.33,446.53,black,standard
105,user_19,sess_20,6,2024-01-01T04:47:51Z,night,january,mobile,eu_west,organic,product_details,search_results,hover,647.53,550.4,green,basic
106,user_19,sess_20,7,2024-01-01T04:52:35Z,night,january,mobile,eu_west,direct,search_results,product_details,scroll,549.54,467.11,black,basic
107,user_19,sess_20,8,2024-01-01T04:55:43Z,night,january,tablet,ap_south,direct,product_details,search_results,hover,1129.3,959.9,silver,standard
108,user_19,sess_20,9,2024-01-01T04:58:40Z,night,january,tablet,us_east,organic,search_results,product_details,view,746.52,634.54,silver,pro
109,user_19,sess_20,10,2024-01-01T05:01:22Z,morning,january,mobile,ap_south,paid_ads,product_details,cart,add_to_cart,355.67,302.32,black,pro
110,user_19,sess_20,11,2024-01-01T05:02:28Z,morning,january,desktop,us_east,direct,cart,product_details,view,319.62,271.68,green,pro
111,user_19,sess_20,12,2024-01-01T05:05:46Z,morning,january,mobile,us_east,organic,product_details,search_results,scroll,694.94,590.7,blue,basic
112,user_19,sess_20,13,2024-01-01T05:09:16Z,morning,january,mobile,eu_west,paid_ads,search_results,product_details,scroll,488.26,415.02,silver,basic
113,user_19,sess_20,14,2024-01-01T05:11:41Z,morning,january,desktop,ap_south,paid_ads,product_details,search_results,click,780.23,663.2,green,pro
114,user_19,sess_20,15,2024-01-01T05:13:16Z,morning,january,tablet,eu_west,paid_ads,search_results,home,hover,691.74,587.98,red,pro
115,user_19,sess_20,16,2024-01-01T05:15:39Z,morning,january,mobile,us_east,direct,home,product_details,click,526.46,447.49,green,basic
116,user_19,sess_20,17,2024-01-01T05:18:57Z,morning,january,tablet,eu_west,direct,product_details,cart,add_to_cart,357.52,303.89,green,pro
117,user_19,sess_20,18,2024-01-01T05:19:16Z,morning,january,tablet,ap_south,direct,cart,checkout,view,256.0,217.6,green,pro
118,user_19,sess_20,19,2024-01-01T05:21:57Z,morning,january,mobile,ap_south,organic,checkout,purchase,purchase,607.67,516.52,silver,basic
119,user_19,sess_20,20,2024-01-01T05:24:20Z,morning,january,tablet,us_east,paid_ads,purchase,exit,scroll,292.87,248.94,silver,pro
120,user_82,sess_21,0,2024-01-01T05:24:55Z,morning,january,mobile,eu_west,direct,home,product_details,scroll,350.95,298.31,blue,standard
121,user_82,sess_21,1,2024-01-01T05:28:42Z,morning,january,tablet,ap_south,direct,product_details,exit,hover,589.6,501.16,red,basic
122,user_21,sess_22,0,2024-01-01T05:31:08Z,morning,january,tablet,eu_west,organic,home,exit,hover,562.11,477.79,black,pro
123,user_59,sess_23,0,2024-01-01T05:32:01Z,morning,january,tablet,eu_west,organic,home,exit,click,308.31,262.06,red,pro
124,user_101,sess_24,0,2024-01-01T05:35:38Z,morning,january,tablet,eu_west,paid_ads,home,search_results,hover,938.34,797.59,red,standard
125,user_101,sess_24,1,2024-01-01T05:39:03Z,morning,january,desktop,ap_south,organic,search_results,purchase,irrational_jump,924.72,786.01,red,basic
126,user_101,sess_24,2,2024-01-01T05:39:50Z,morning,january,mobile,us_east,organic,purchase,exit,click,858.47,729.7,silver,standard
127,user_4,sess_25,0,2024-01-01T05:42:40Z,morning,january,desktop,eu_west,direct,home,product_details,scroll,403.68,343.13,black,basic
128,user_4,sess_25,1,2024-01-01T05:47:31Z,morning,january,desktop,ap_south,organic,product_details,cart,add_to_cart,552.55,469.67,green,pro
129,user_4,sess_25,2,2024-01-01T05:51:56Z,morning,january,mobile,eu_west,direct,cart,checkout,hover,844.33,717.68,silver,pro
130,user_4,sess_25,3,2024-01-01T05:54:11Z,morning,january,tablet,ap_south,direct,checkout,purchase,purchase,1062.12,902.8,black,basic
131,user_4,sess_25,4,2024-01-01T05:54:57Z,morning,january,mobile,ap_south,organic,purchase,exit,click,894.88,760.65,blue,basic
132,user_82,sess_26,0,2024-01-01T05:55:22Z,morning,january,mobile,ap_south,organic,home,search_results,scroll,306.83,260.81,red,standard
133,user_82,sess_26,1,2024-01-01T05:57:27Z,morning,january,desktop,us_east,organic,search_results,exit,view,257.8,219.13,black,basic
134,user_69,sess_27,0,2024-01-01T05:59:50Z,morning,january,mobile,eu_west,organic,home,search_results,scroll,535.27,454.98,silver,basic
135,user_69,sess_27,1,2024-01-01T06:02:50Z,morning,january,tablet,us_east,paid_ads,search_results,product_details,click,417.9,355.21,red,basic
136,user_69,sess_27,2,2024-01-01T06:03:37Z,morning,january,mobile,eu_west,paid_ads,product_details,cart,add_to_cart,443.78,377.21,green,pro
137,user_69,sess_27,3,2024-01-01T06:05:45Z,morning,january,desktop,ap_south,organic,cart,checkout,hover,568.32,483.07,black,basic
138,user_69,sess_27,4,2024-01-01T06:06:31Z,morning,january,mobile,eu_west,paid_ads,checkout,purchase,purchase,349.33,296.93,black,pro
139,user_69,sess_27,5,2024-01-01T06:10:33Z,morning,january,mobile,eu_west,paid_ads,purchase,exit,view,461.82,392.55,red,basic
140,user_81,sess_28,0,2024-01-01T06:15:28Z,morning,january,desktop,ap_south,paid_ads,home,search_results,hover,718.65,610.85,silver,standard
141,user_81,sess_28,1,2024-01-01T06:19:23Z,morning,january,desktop,eu_west,organic,search_results,product_details,scroll,289.21,245.83,red,pro
142,user_81,sess_28,2,2024-01-01T06:23:09Z,morning,january,mobile,eu_west,direct,product_details,cart,add_to_cart,1802.81,1532.39,blue,standard
143,user_81,sess_28,3,2024-01-01T06:26:04Z,morning,january,mobile,us_east,organic,cart,checkout,click,1372.37,1166.51,silver,standard
144,user_81,sess_28,4,2024-01-01T06:27:06Z,morning,january,mobile,ap_south,organic,checkout,purchase,purchase,550.13,467.61,green,pro
145,user_81,sess_28,5,2024-01-01T06:30:09Z,morning,january,tablet,us_east,direct,purchase,exit,click,681.04,578.88,silver,standard
146,user_76,sess_29,0,2024-01-01T06:33:03Z,morning,january,mobile,us_east,direct,home,search_results,click,437.18,371.6,blue,standard
147,user_76,sess_29,1,2024-01-01T06:38:02Z,morning,january,tablet,ap_south,paid_ads,search_results,product_details,click,236.99,201.44,blue,pro
148,user_76,sess_29,2,2024-01-01T06:43:02Z,morning,january,desktop,us_east,organic,product_details,cart,add_to_cart,371.18,315.5,red,pro
149,user_76,sess_29,3,2024-01-01T06:45:36Z,morning,january,mobile,us_east,paid_ads,cart,checkout,view,1252.92,1064.98,silver,basic
150,user_76,sess_29,4,2024-01-01T06:49:16Z,morning,january,mobile,ap_south,paid_ads,checkout,purchase,purchase,640.0,544.0,red,pro
151,user_76,sess_29,5,2024-01-01T06:51:21Z,morning,january,tablet,eu_west,paid_ads,purchase,exit,hover,243.83,207.26,blue,standard
152,user_76,sess_30,0,2024-01-01T06:52:19Z,morning,january,tablet,us_east,direct,home,search_results,view,659.34,560.44,black,basic
153,user_76,sess_30,1,2024-01-01T06:56:20Z,morning,january,mobile,ap_south,organic,search_results,product_details,hover,1246.71,1059.7,silver,standard
154,user_76,sess_30,2,2024-01-01T06:59:31Z,morning,january,tablet,ap_south,direct,product_details,search_results,click,378.88,322.05,green,basic
155,user_76,sess_30,3,2024-01-01T07:00:09Z,morning,january,desktop,us_east,organic,search_results,product_details,scroll,287.9,244.71,blue,pro
156,user_76,sess_30,4,2024-01-01T07:02:34Z,morning,january,desktop,us_east,organic,product_details,cart,add_to_cart,484.87,412.14,blue,basic
157,user_76,sess_30,5,2024-01-01T07:06:03Z,morning,january,mobile,eu_west,paid_ads,cart,checkout,hover,1392.13,1183.31,green,basic
158,user_76,sess_30,6,2024-01-01T07:06:39Z,morning,january,desktop,ap_south,direct,checkout,purchase,purchase,285.75,242.89,green,standard
159,user_76,sess_30,7,2024-01-01T07:10:21Z,morning,january,desktop,us_east,paid_ads,purchase,exit,view,518.03,440.33,silver,standard
160,user_58,sess_31,0,2024-01-01T07:13:41Z,morning,january,tablet,us_east,direct,home,search_results,click,1181.0,1003.85,red,pro
161,user_58,sess_31,1,2024-01-01T07:16:34Z,morning,january,tablet,ap_south,organic,search_results,product_details,view,1058.09,899.38,silver,basic
162,user_58,sess_31,2,2024-01-01T07:21:20Z,morning,january,tablet,ap_south,organic,product_details,cart,add_to_cart,562.19,477.86,green,pro
163,user_58,sess_31,3,2024-01-01T07:23:35Z,morning,january,tablet,us_east,organic,cart,checkout,scroll,1766.2,1501.27,red,basic
164,user_58,sess_31,4,2024-01-01T07:28:02Z,morning,january,tablet,ap_south,paid_ads,checkout,purchase,purchase,493.42,419.41,green,standard
165,user_58,sess_31,5,2024-01-01T07:31:02Z,morning,january,desktop,eu_west,paid_ads,purchase,exit,view,562.86,478.43,black,standard
166,user_38,sess_32,0,2024-01-01T07:33:37Z,morning,january,desktop,us_east,organic,home,search_results,click,211.43,179.72,green,standard
167,user_38,sess_32,1,2024-01-01T07:37:00Z,morning,january,tablet,ap_south,paid_ads,search_results,product_details,view,1035.72,880.36,black,basic
168,user_38,sess_32,2,2024-01-01T07:40:31Z,morning,january,mobile,eu_west,paid_ads,product_details,cart,add_to_cart,769.71,654.25,green,standard
169,user_38,sess_32,3,2024-01-01T07:42:22Z,morning,january,desktop,us_east,direct,cart,exit,view,565.7,480.85,blue,standard
170,user_91,sess_33,0,2024-01-01T07:43:20Z,morning,january,desktop,ap_south,paid_ads,home,search_results,click,428.11,363.89,green,basic
171,user_91,sess_33,1,2024-01-01T07:44:56Z,morning,january,tablet,ap_south,organic,search_results,exit,hover,605.7,514.85,blue,pro
172,user_101,sess_34,0,2024-01-01T07:48:02Z,morning,january,desktop,ap_south,paid_ads,home,search_results,hover,400.0,340.0,red,basic
173,user_101,sess_34,1,2024-01-01T07:49:33Z,morning,january,desktop,ap_south,paid_ads,search_results,home,hover,457.07,388.51,blue,standard
174,user_101,sess_34,2,2024-01-01T07:53:08Z,morning,january,tablet,eu_west,organic,home,product_details,click,654.32,556.17,red,pro
175,user_101,sess_34,3,2024-01-01T07:57:52Z,morning,january,mobile,eu_west,direct,product_details,cart,add_to_cart,730.14,620.62,red,pro
176,user_101,sess_34,4,2024-01-01T07:59:39Z,morning,january,mobile,us_east,organic,cart,checkout,scroll,719.43,611.52,black,standard
177,user_101,sess_34,5,2024-01-01T08:00:33Z,morning,january,tablet,eu_west,paid_ads,checkout,exit,view,382.8,325.38,blue,pro
178,user_16,sess_35,0,2024-01-01T08:04:00Z,morning,january,tablet,eu_west,organic,home,product_details,scroll,223.35,189.85,red,basic
179,user_16,sess_35,1,2024-01-01T08:07:45Z,morning,january,tablet,eu_west,paid_ads,product_details,cart,add_to_cart,296.57,252.08,blue,pro
180,user_16,sess_35,2,2024-01-01T08:11:49Z,morning,january,mobile,eu_west,paid_ads,cart,checkout,click,1186.8,1008.78,blue,basic
181,user_16,sess_35,3,2024-01-01T08:15:49Z,morning,january,tablet,eu_west,organic,checkout,purchase,purchase,438.27,372.53,green,basic
182,user_16,sess_35,4,2024-01-01T08:17:46Z,morning,january,desktop,ap_south,organic,purchase,exit,click,549.31,466.91,black,basic
183,user_91,sess_36,0,2024-01-01T08:22:25Z,morning,january,desktop,ap_south,organic,home,search_results,hover,869.62,739.18,black,basic
184,user_91,sess_36,1,2024-01-01T08:26:23Z,morning,january,mobile,eu_west,organic,search_results,product_details,hover,484.43,411.77,red,pro
185,user_91,sess_36,2,2024-01-01T08:30:00Z,morning,january,mobile,us_east,direct,product_details,exit,hover,836.79,711.27,green,basic
186,user_12,sess_37,0,2024-01-01T08:33:06Z,morning,january,tablet,us_east,paid_ads,home,product_details,click,476.78,405.26,silver,basic
187,user_12,sess_37,1,2024-01-01T08:37:21Z,morning,january,mobile,us_east,paid_ads,product_details,search_results,hover,401.83,341.56,green,basic
188,user_12,sess_37,2,2024-01-01T08:42:06Z,morning,january,mobile,us_east,direct,search_results,product_details,view,1420.47,1207.4,green,pro
189,user_12,sess_37,3,2024-01-01T08:46:15Z,morning,january,tablet,us_east,paid_ads,product_details,cart,add_to_cart,930.01,790.51,red,pro
190,user_12,sess_37,4,2024-01-01T08:50:53Z,morning,january,tablet,eu_west,organic,cart,checkout,view,997.29,847.7,green,pro
191,user_12,sess_37,5,2024-01-01T08:54:41Z,morning,january,desktop,us_east,paid_ads,checkout,purchase,purchase,300.14,255.12,red,pro
192,user_12,sess_37,6,2024-01-01T08:59:34Z,morning,january,desktop,us_east,paid_ads,purchase,exit,click,384.91,327.17,green,pro
193,user_49,sess_38,0,2024-01-01T09:03:00Z,morning,january,mobile,ap_south,paid_ads,home,search_results,hover,543.58,462.04,blue,basic
194,user_49,sess_38,1,2024-01-01T09:04:08Z,morning,january,desktop,ap_south,direct,search_results,product_details,view,467.8,397.63,silver,pro
195,user_49,sess_38,2,2024-01-01T09:05:52Z,morning,january,tablet,us_east,organic,product_details,search_results,click,816.06,693.65,black,pro
196,user_49,sess_38,3,2024-01-01T09:06:39Z,morning,january,mobile,us_east,organic,search_results,product_details,scroll,742.12,630.8,silver,pro
197,user_49,sess_38,4,2024-01-01T09:09:35Z,morning,january,desktop,us_east,paid_ads,product_details,search_results,click,1076.56,915.08,black,standard
198,user_49,sess_38,5,2024-01-01T09:11:27Z,morning,january,desktop,us_east,direct,search_results,exit,hover,439.63,373.69,blue,pro
199,user_55,sess_39,0,2024-01-01T09:15:06Z,morning,january,desktop,ap_south,direct,home,exit,scroll,604.56,513.88,silver,pro
