event_index,user_id,session_id,step_index,timestamp,time_of_day,month,device,region,traffic,current_page,next_page,action,price,discounted_price,color,model_type,is_drifted,action_flag,rolling_cr,price_smooth,price_norm
5067,user_90,sess_1005,5,2024-01-10T04:31:38Z,night,january,mobile,us_east,direct,checkout,purchase,purchase,1256.29,1067.85,silver,standard,0,0,,,-0.4277200656366708
5068,user_90,sess_1005,6,2024-01-10T04:34:57Z,night,january,tablet,us_east,organic,purchase,,view,1170.1,994.58,blue,standard,0,0,,,-0.4687428875506451
5069,user_90,sess_1006,0,2024-01-10T04:37:20Z,night,january,desktop,eu_west,organic,home,search_results,hover,437.08,371.52,silver,basic,0,0,,,-0.817629636818326
5070,user_90,sess_1006,1,2024-01-10T04:40:30Z,night,january,mobile,eu_west,direct,search_results,product_details,scroll,505.35,429.55,red,pro,0,0,,,-0.7851359826581331
5071,user_90,sess_1006,2,2024-01-10T04:45:01Z,night,january,tablet,eu_west,direct,product_details,search_results,scroll,220.51,187.43,green,basic,0,0,,,-0.9207078656373237
5072,user_90,sess_1006,3,2024-01-10T04:46:33Z,night,january,tablet,eu_west,organic,search_results,product_details,view,540.73,459.62,blue,pro,0,0,,,-0.7682965878406786
5073,user_90,sess_1006,4,2024-01-10T04:51:06Z,night,january,mobile,ap_south,organic,product_details,cart,add_to_cart,574.44,488.27,blue,standard,0,1,,,-0.7522520429199212
5074,user_90,sess_1006,5,2024-01-10T04:54:08Z,night,january,desktop,ap_south,organic,cart,checkout,click,978.67,831.87,red,standard,0,0,,,-0.559855531697206
5075,user_90,sess_1006,6,2024-01-10T04:56:28Z,night,january,desktop,eu_west,direct,checkout,purchase,purchase,1208.11,1026.89,blue,basic,0,0,,,-0.4506517231353978
5076,user_90,sess_1006,7,2024-01-10T04:57:53Z,night,january,mobile,ap_south,paid_ads,purchase,,click,800.54,680.46,green,pro,0,0,,,-0.6446379341515075
5077,user_41,sess_1007,0,2024-01-10T05:00:25Z,morning,january,tablet,eu_west,paid_ads,home,search_results,scroll,2461.66,2092.41,black,pro,1,0,,,0.14598545531062193
5078,user_41,sess_1007,1,2024-01-10T05:02:54Z,morning,january,tablet,eu_west,direct,search_results,home,hover,1332.85,1132.92,black,standard,1,0,,,-0.3912807194743101
5079,user_41,sess_1007,2,2024-01-10T05:07:14Z,morning,january,tablet,us_east,paid_ads,home,search_results,view,809.03,687.68,black,pro,1,0,,,-0.6405970505449448
5080,user_41,sess_1007,3,2024-01-10T05:12:03Z,morning,january,tablet,ap_south,organic,search_results,product_details,view,1681.03,1428.88,black,standard,1,0,,,-0.22556165538326053
5081,user_41,sess_1007,4,2024-01-10T05:15:26Z,morning,january,mobile,us_east,paid_ads,product_details,search_results,scroll,2564.53,2179.85,black,pro,1,0,,,0.19494725703112947
5082,user_41,sess_1007,5,2024-01-10T05:18:47Z,morning,january,mobile,us_east,paid_ads,search_results,product_details,click,409.92,348.43,black,pro,1,0,,,-0.8305566566951509
5083,user_41,sess_1007,6,2024-01-10T05:21:27Z,morning,january,mobile,ap_south,direct,product_details,search_results,click,1558.83,1325.01,red,pro,1,0,,,-0.28372372566853327
5084,user_41,sess_1007,7,2024-01-10T05:23:39Z,morning,january,desktop,us_east,organic,search_results,home,view,618.86,526.03,black,pro,1,0,,,-0.731109987583818
5085,user_41,sess_1007,8,2024-01-10T05:25:05Z,morning,january,tablet,ap_south,organic,home,search_results,scroll,1003.97,853.37,red,pro,1,0,,,-0.5478137937412535
5086,user_41,sess_1007,9,2024-01-10T05:25:54Z,morning,january,desktop,eu_west,direct,search_results,product_details,click,1594.48,1355.31,blue,pro,1,0,,,-0.26675582218514554
5087,user_41,sess_1007,10,2024-01-10T05:28:01Z,morning,january,mobile,eu_west,direct,product_details,search_results,click,3245.16,2758.39,black,pro,1,0,,,0.518898565527571
5088,user_41,sess_1007,11,2024-01-10T05:32:33Z,morning,january,mobile,eu_west,paid_ads,search_results,home,click,1488.37,1265.11,green,pro,1,0,,,-0.3172597278968501
5089,user_41,sess_1007,12,2024-01-10T05:33:39Z,morning,january,desktop,eu_west,organic,home,search_results,hover,2059.09,1750.23,black,pro,1,0,,,-0.04562096559561557
5090,user_41,sess_1007,13,2024-01-10T05:37:22Z,morning,january,mobile,ap_south,organic,search_results,product_details,click,1687.83,1434.66,black,basic,1,0,,,-0.22232514083383456
5091,user_41,sess_1007,14,2024-01-10T05:38:15Z,morning,january,desktop,eu_west,direct,product_details,,irrational_jump,1037.7,882.04,black,pro,1,0,,,-0.5317597296600567
5092,user_70,sess_1008,0,2024-01-10T05:43:02Z,morning,january,desktop,ap_south,paid_ads,home,search_results,view,272.93,231.99,green,pro,0,0,,,-0.8957581461254251
5093,user_70,sess_1008,1,2024-01-10T05:46:56Z,morning,january,mobile,us_east,paid_ads,search_results,,scroll,516.37,438.91,green,basic,0,0,,,-0.7798909252559751
5094,user_22,sess_1009,0,2024-01-10T05:50:47Z,morning,january,tablet,us_east,paid_ads,home,product_details,click,6423.15,5459.68,black,pro,1,0,,,2.0314883997820217
5095,user_22,sess_1009,1,2024-01-10T05:51:18Z,morning,january,desktop,eu_west,organic,product_details,,view,3065.66,2605.81,black,pro,1,0,,,0.43346410058316465
471,user_40,sess_101,0,2024-01-01T20:55:25Z,evening,january,tablet,us_east,direct,home,product_details,scroll,638.75,542.94,red,basic,0,0,,,-0.721643182526747
472,user_40,sess_101,1,2024-01-01T20:56:25Z,evening,january,desktop,eu_west,organic,product_details,search_results,click,235.49,200.17,red,standard,0,0,,,-0.913578014468147
473,user_40,sess_101,2,2024-01-01T20:56:59Z,evening,january,tablet,us_east,organic,search_results,product_details,hover,226.62,192.63,green,pro,0,0,,,-0.91779976212306
474,user_40,sess_101,3,2024-01-01T20:57:16Z,evening,january,desktop,eu_west,organic,product_details,cart,add_to_cart,469.85,399.37,silver,basic,0,1,,,-0.8020324924382246
475,user_40,sess_101,4,2024-01-01T20:58:23Z,evening,january,desktop,eu_west,direct,cart,checkout,view,365.11,310.34,blue,standard,0,0,,,-0.8518843356598241
476,user_40,sess_101,5,2024-01-01T21:03:04Z,night,january,mobile,eu_west,direct,checkout,purchase,purchase,207.63,176.49,green,standard,0,0,,,-0.926838204960354
477,user_40,sess_101,6,2024-01-01T21:06:22Z,night,january,mobile,us_east,organic,purchase,,click,298.53,253.75,silver,basic,0,0,,,-0.8835736207628803
5096,user_40,sess_1010,0,2024-01-10T05:55:32Z,morning,january,tablet,us_east,organic,home,purchase,irrational_jump,1036.58,881.09,black,basic,1,0,,,-0.5322928026446682
5097,user_40,sess_1010,1,2024-01-10T05:59:37Z,morning,january,desktop,ap_south,organic,purchase,,click,2378.58,2021.79,green,pro,1,0,,,0.10644286284498809
5098,user_80,sess_1011,0,2024-01-10T06:02:30Z,morning,january,tablet,ap_south,organic,home,search_results,scroll,469.57,399.13,silver,basic,0,0,,,-0.8021657606843775
5099,user_80,sess_1011,1,2024-01-10T06:07:28Z,morning,january,tablet,eu_west,direct,search_results,,hover,259.92,220.93,silver,basic,0,0,,,-0.9019503599913121
5100,user_8,sess_1012,0,2024-01-10T06:12:11Z,morning,january,desktop,us_east,paid_ads,home,search_results,hover,2998.64,2548.84,black,standard,1,0,,,0.40156539395043983
5101,user_8,sess_1012,1,2024-01-10T06:17:03Z,morning,january,tablet,us_east,organic,search_results,,hover,5171.84,4396.06,black,pro,1,0,,,1.4359173673052246
5102,user_11,sess_1013,0,2024-01-10T06:17:39Z,morning,january,tablet,eu_west,organic,home,search_results,view,4079.57,3467.63,black,pro,1,0,,,0.9160426986432373
5103,user_11,sess_1013,1,2024-01-10T06:20:18Z,morning,january,tablet,ap_south,organic,search_results,home,view,1878.57,1596.78,black,pro,1,0,,,-0.1315409077224359
5104,user_11,sess_1013,2,2024-01-10T06:21:44Z,morning,january,desktop,eu_west,direct,home,,click,1380.66,1173.56,black,pro,1,0,,,-0.3685251664437136
5105,user_4,sess_1014,0,2024-01-10T06:25:17Z,morning,january,mobile,us_east,direct,home,product_details,hover,2338.93,1988.09,black,pro,1,0,,,0.08757112727370275
5106,user_4,sess_1014,1,2024-01-10T06:25:40Z,morning,january,tablet,us_east,paid_ads,product_details,,click,3013.37,2561.36,black,pro,1,0,,,0.40857625561412286
5107,user_59,sess_1015,0,2024-01-10T06:28:21Z,morning,january,tablet,us_east,direct,home,search_results,view,1396.06,1186.65,silver,pro,1,0,,,-0.3611954129053077
5108,user_59,sess_1015,1,2024-01-10T06:30:38Z,morning,january,tablet,us_east,organic,search_results,product_details,click,1406.32,1195.37,blue,pro,1,0,,,-0.3563120835998503
5109,user_59,sess_1015,2,2024-01-10T06:34:10Z,morning,january,desktop,us_east,direct,product_details,,view,1509.39,1282.98,black,standard,1,0,,,-0.30725509027494796
5110,user_39,sess_1016,0,2024-01-10T06:35:05Z,morning,january,mobile,eu_west,paid_ads,home,search_results,view,1862.66,1583.26,black,basic,1,0,,,-0.13911339985204865
5111,user_39,sess_1016,1,2024-01-10T06:38:52Z,morning,january,desktop,us_east,paid_ads,search_results,product_details,click,1235.15,1049.88,red,pro,1,0,,,-0.43778181822120976
5112,user_39,sess_1016,2,2024-01-10T06:40:16Z,morning,january,mobile,us_east,organic,product_details,,scroll,948.7,806.39,black,pro,1,0,,,-0.574119993615779
5113,user_19,sess_1017,0,2024-01-10T06:45:02Z,morning,january,desktop,us_east,direct,home,search_results,click,4399.78,3739.81,black,pro,1,0,0.05,1632.318,1.0684492168596624
5114,user_19,sess_1017,1,2024-01-10T06:49:34Z,morning,january,mobile,eu_west,organic,search_results,product_details,view,5239.98,4453.98,black,pro,1,0,0.05,1677.7188,1.4683491469225605
5115,user_19,sess_1017,2,2024-01-10T06:53:02Z,morning,january,desktop,ap_south,direct,product_details,search_results,scroll,2545.98,2164.08,black,pro,1,0,0.05,1698.0835,0.1861182357235041
5116,user_19,sess_1017,3,2024-01-10T06:54:46Z,morning,january,mobile,eu_west,direct,search_results,product_details,view,9226.57,7842.58,black,pro,1,0,0.05,1785.4925999999998,3.365798637745518
5117,user_19,sess_1017,4,2024-01-10T06:58:33Z,morning,january,desktop,us_east,direct,product_details,search_results,hover,7143.72,6072.16,black,pro,1,0,0.05,1852.0731999999998,2.374449471676121
5118,user_19,sess_1017,5,2024-01-10T07:01:50Z,morning,january,tablet,ap_south,paid_ads,search_results,home,hover,1938.64,1647.84,black,pro,1,0,0.05,1867.8708000000001,-0.1029501093424331
5119,user_19,sess_1017,6,2024-01-10T07:03:19Z,morning,january,tablet,us_east,paid_ads,home,search_results,view,1423.28,1209.79,black,pro,1,0,0.05,1877.4259,-0.3482398355471643
5120,user_19,sess_1017,7,2024-01-10T07:06:41Z,morning,january,desktop,ap_south,direct,search_results,product_details,view,3077.13,2615.56,black,pro,1,0,0.05,1903.9006,0.43892333909521125
5121,user_19,sess_1017,8,2024-01-10T07:10:59Z,morning,january,mobile,eu_west,direct,product_details,search_results,hover,3841.99,3265.69,black,pro,1,0,0.04,1937.3447,0.8029645917825572
5122,user_19,sess_1017,9,2024-01-10T07:14:53Z,morning,january,mobile,ap_south,direct,search_results,product_details,hover,9139.41,7768.5,black,pro,1,0,0.04,2020.5425,3.3243141365502287
5123,user_19,sess_1017,10,2024-01-10T07:19:40Z,morning,january,mobile,ap_south,organic,product_details,search_results,scroll,8943.05,7601.59,red,pro,1,0,0.04,2099.2162,3.2308550193553334
5124,user_19,sess_1017,11,2024-01-10T07:22:07Z,morning,january,desktop,ap_south,direct,search_results,product_details,click,4680.71,3978.6,black,pro,1,0,0.04,2139.4814,1.2021601039729333
5125,user_19,sess_1017,12,2024-01-10T07:22:48Z,morning,january,desktop,us_east,paid_ads,product_details,search_results,hover,2776.16,2359.74,black,pro,1,0,0.04,2163.2884999999997,0.29567425322157337
5126,user_19,sess_1017,13,2024-01-10T07:25:06Z,morning,january,desktop,ap_south,direct,search_results,home,scroll,6068.15,5157.93,black,pro,1,0,0.04,2218.6071,1.8625233019811063
5127,user_19,sess_1017,14,2024-01-10T07:26:31Z,morning,january,desktop,eu_west,paid_ads,home,search_results,view,3570.07,3034.56,black,pro,1,0,0.03,2242.3696999999997,0.6735420864472762
5128,user_19,sess_1017,15,2024-01-10T07:30:46Z,morning,january,mobile,ap_south,paid_ads,search_results,product_details,click,1756.63,1493.14,black,pro,1,0,0.03,2254.2333,-0.1895792289219952
5129,user_19,sess_1017,16,2024-01-10T07:31:04Z,morning,january,tablet,ap_south,organic,product_details,search_results,hover,1786.16,1518.24,black,pro,1,0,0.03,2267.3932999999997,-0.1755241885330909
5130,user_19,sess_1017,17,2024-01-10T07:35:16Z,morning,january,mobile,ap_south,paid_ads,search_results,home,click,2785.1,2367.34,black,standard,1,0,0.03,2290.3523999999998,0.29992931793802463
5131,user_19,sess_1017,18,2024-01-10T07:39:52Z,morning,january,desktop,eu_west,paid_ads,home,search_results,hover,5505.85,4679.97,black,pro,1,0,0.03,2335.3465,1.5948921062248969
5132,user_19,sess_1017,19,2024-01-10T07:41:39Z,morning,january,mobile,ap_south,paid_ads,search_results,product_details,view,2012.78,1710.86,black,pro,1,0,0.03,2351.5948000000003,-0.06766258159325052
5133,user_19,sess_1017,20,2024-01-10T07:44:50Z,morning,january,tablet,us_east,direct,product_details,search_results,click,2782.18,2364.85,black,pro,1,0,0.03,2370.7686,0.29853952051385935
5134,user_19,sess_1017,21,2024-01-10T07:49:34Z,morning,january,tablet,us_east,organic,search_results,product_details,view,7106.57,6040.58,black,pro,1,0,0.03,2433.3265,2.356767631159772
5135,user_19,sess_1017,22,2024-01-10T07:52:12Z,morning,january,mobile,ap_south,paid_ads,product_details,search_results,scroll,4075.93,3464.54,black,pro,1,0,0.03,2465.5782999999997,0.9143102114432503
5136,user_19,sess_1017,23,2024-01-10T07:52:27Z,morning,january,desktop,us_east,paid_ads,search_results,home,scroll,8321.85,7073.57,black,pro,1,0,0.03,2505.9951,2.9351898961048315
5137,user_19,sess_1017,24,2024-01-10T07:54:50Z,morning,january,desktop,eu_west,direct,home,,hover,4326.85,3677.82,black,standard,1,0,0.03,2520.9139,1.0337375983170691
5138,user_8,sess_1018,0,2024-01-10T07:59:41Z,morning,january,mobile,eu_west,organic,home,,scroll,5617.65,4775.0,black,pro,1,0,0.03,2541.9686,1.6481042130816352
5139,user_6,sess_1019,0,2024-01-10T08:01:54Z,morning,january,tablet,us_east,direct,home,search_results,scroll,2809.68,2388.23,black,pro,1,0,0.03,2545.2485,0.31162836611815553
5140,user_6,sess_1019,1,2024-01-10T08:06:12Z,morning,january,desktop,eu_west,paid_ads,search_results,home,view,7398.81,6288.99,black,pro,1,0,0.03,2606.1724,2.495861603501573
5141,user_6,sess_1019,2,2024-01-10T08:11:06Z,morning,january,tablet,us_east,organic,home,search_results,click,4756.2,4042.77,black,pro,1,0,0.03,2631.0409999999997,1.2380901750517812
5142,user_6,sess_1019,3,2024-01-10T08:13:00Z,morning,january,mobile,ap_south,direct,search_results,product_details,click,3168.45,2693.18,black,pro,1,0,0.03,2620.0081999999998,0.48238782566191407
5143,user_6,sess_1019,4,2024-01-10T08:17:49Z,morning,january,desktop,eu_west,organic,product_details,search_results,hover,6576.46,5589.99,black,pro,1,0,0.03,2647.7151,2.104457524130918
5144,user_6,sess_1019,5,2024-01-10T08:22:32Z,morning,january,tablet,us_east,direct,search_results,product_details,view,4644.33,3947.68,black,pro,1,0,0.03,2665.0658000000003,1.184844751133504
5145,user_6,sess_1019,6,2024-01-10T08:27:25Z,morning,january,desktop,eu_west,paid_ads,product_details,,hover,3326.38,2827.42,black,pro,1,0,0.03,2671.2663999999995,0.5575558760723326
478,user_93,sess_102,0,2024-01-01T21:07:44Z,night,january,desktop,ap_south,paid_ads,home,,view,502.56,427.18,blue,basic,0,0,0.03,2657.4714999999997,-0.7864639055394417
5146,user_27,sess_1020,0,2024-01-10T08:31:01Z,morning,january,desktop,us_east,organic,home,product_details,hover,4394.28,3735.14,black,pro,1,0,0.03,2672.5991,1.0658314477388031
5147,user_27,sess_1020,1,2024-01-10T08:35:16Z,morning,january,mobile,us_east,paid_ads,product_details,search_results,view,2198.18,1868.45,black,pro,1,0,0.03,2666.1581,0.02058003568080476
5148,user_27,sess_1020,2,2024-01-10T08:38:58Z,morning,january,tablet,eu_west,direct,search_results,home,hover,6080.61,5168.52,black,basic,1,0,0.03,2680.8579999999997,1.8684537389349074
5149,user_27,sess_1020,3,2024-01-10T08:39:54Z,morning,january,tablet,ap_south,organic,home,product_details,hover,9039.53,7683.6,black,pro,1,0,0.03,2755.9986,3.276775449315425
5150,user_27,sess_1020,4,2024-01-10T08:40:26Z,morning,january,desktop,eu_west,organic,product_details,search_results,view,1542.25,1310.91,black,standard,1,0,0.03,2728.2891999999997,-0.2916151096728689
5151,user_27,sess_1020,5,2024-01-10T08:43:53Z,morning,january,desktop,eu_west,direct,search_results,product_details,hover,2532.29,2152.45,black,pro,1,0,0.03,2683.9336,0.17960237040267443
5152,user_27,sess_1020,6,2024-01-10T08:44:45Z,morning,january,desktop,ap_south,direct,product_details,cart,add_to_cart,2433.5,2068.47,black,basic,1,1,0.04,2684.511,0.13258247741182264
5153,user_27,sess_1020,7,2024-01-10T08:46:17Z,morning,january,tablet,us_east,paid_ads,cart,checkout,view,4918.48,4180.71,black,pro,1,0,0.04,2669.5128000000004,1.3153286428577882
5154,user_27,sess_1020,8,2024-01-10T08:49:11Z,morning,january,desktop,ap_south,organic,checkout,purchase,purchase,3740.72,3179.61,black,standard,1,0,0.04,2700.5542,0.7547643228972089
5155,user_27,sess_1020,9,2024-01-10T08:49:56Z,morning,january,tablet,us_east,paid_ads,purchase,cart,irrational_jump,2716.25,2308.81,black,pro,1,0,0.04,2722.395,0.26715960812508666
5156,user_27,sess_1020,10,2024-01-10T08:51:04Z,morning,january,tablet,eu_west,organic,cart,checkout,view,2164.34,1839.69,black,pro,1,0,0.04,2739.3561000000004,0.004473616217190923
5157,user_27,sess_1020,11,2024-01-10T08:53:58Z,morning,january,tablet,eu_west,paid_ads,checkout,purchase,purchase,3117.85,2650.17,black,pro,1,0,0.03,2759.7084999999997,0.45830434975000905
5158,user_27,sess_1020,12,2024-01-10T08:58:51Z,morning,january,mobile,us_east,direct,purchase,,scroll,4056.83,3448.31,black,pro,1,0,0.03,2795.3988,0.9052194132235392
5159,user_44,sess_1021,0,2024-01-10T08:59:34Z,morning,january,tablet,ap_south,organic,home,search_results,scroll,952.39,809.53,black,pro,1,0,0.03,2792.3597999999997,-0.5723637085146935
5160,user_44,sess_1021,1,2024-01-10T09:02:46Z,morning,january,mobile,us_east,paid_ads,search_results,product_details,click,1518.55,1290.77,green,standard,1,0,0.03,2795.8442999999997,-0.30289531479366244
5161,user_44,sess_1021,2,2024-01-10T09:03:08Z,morning,january,mobile,us_east,organic,product_details,search_results,hover,1578.53,1341.75,black,pro,1,0,0.03,2807.2588,-0.2743473526356374
5162,user_44,sess_1021,3,2024-01-10T09:03:36Z,morning,january,desktop,eu_west,organic,search_results,product_details,click,2423.97,2060.37,black,pro,1,0,0.03,2826.445,0.12804659746240643
5163,user_44,sess_1021,4,2024-01-10T09:06:00Z,morning,january,mobile,eu_west,organic,product_details,search_results,scroll,3086.69,2623.69,black,standard,1,0,0.03,2855.1068,0.44347349778528655
5164,user_44,sess_1021,5,2024-01-10T09:08:25Z,morning,january,mobile,ap_south,paid_ads,search_results,home,view,1337.34,1136.74,black,pro,1,0,0.03,2863.0728999999997,-0.38914366795564503
5165,user_44,sess_1021,6,2024-01-10T09:10:04Z,morning,january,mobile,ap_south,paid_ads,home,search_results,view,4222.82,3589.4,silver,pro,1,0,0.02,2899.5566999999996,0.9842236852910711
5166,user_44,sess_1021,7,2024-01-10T09:15:00Z,morning,january,mobile,us_east,direct,search_results,home,hover,2214.96,1882.72,red,pro,1,0,0.02,2911.9196,0.02856661128953543
